municipio,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04_,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeitos_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeitos_30_03,morte_30_03,morte_29_03,confirmados_28_03,suspeitos_28_03,morte_28_03,confirmados_27_03,suspeitos_27_03,morte_27_03,morte_26_03,confirmados_25_03,suspeitos_25_03,morte_25_03,confirmados_24_03,suspeitos_24_03,morte_24_03,morte_23_03,confirmados_22_03,suspeitos_22_03,morte_22_03,morte_21_03,confirmados_20_03,suspeitos_20_03,morte_20_03,morte_19_03,confirmados_18_03,suspeitos_18_03,morte_18_03,morte_17_03,confirmados_16_03,suspeitos_16_03,morte_16_03,morte_15_03,morte_14_03,confirmados_13_03,suspeitos_13_03,morte_13_03,morte_12_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Pendências,4,9,,4,8,,4,8,,3,5,,1,5,,1,4,,1,4,,1,2,,1,2,,1,2,,1,2,,1,1,,,1,,,1,,,2,,,2,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Pilões,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poço Branco,2,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,,,1,,,1,,,1,1,,1,1,,1,3,,1,8,,1,6,,1,5,,1,4,,1,1,,1,4,,1,5,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,2,2,,2,,,2,,,2,,,2,,,1,1,,2,1,,2,1,,2,1,,1,1,,1,1,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,2,9,,1,9,,1,9,,1,8,,1,8,,1,8,,1,6,,1,6,,,4,,,4,,,3,,,2,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,3,,,3,,,3,,,3,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,2,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,1,10,,1,7,,1,6,,1,5,,1,3,,1,3,,1,3,,1,2,,1,2,,1,3,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio do Fogo,,17,,,12,,,12,,,12,,,7,,,7,,,3,,,3,,,3,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,,3,,,,2,,,2,,,2,,,,3,,,,3,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,12,73,,12,60,,12,61,,12,57,,12,53,,12,53,,12,49,,12,46,,12,46,,12,53,,12,52,,11,51,,10,60,,8,49,,8,45,,4,41,,4,44,,3,28,,3,26,,3,24,,3,24,,3,26,,2,7,,2,7,,1,8,,1,8,,1,7,,1,9,,1,10,,1,11,,,13,,,14,,,12,,,10,,,,10,,,,12,,,10,,,7,,,,3,,,,3,,,4,,,,5,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,
Santa Maria,2,10,,2,7,,2,7,,1,7,,1,4,,1,4,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Matos,2,8,,1,10,,1,10,,1,5,,,5,,,6,,,6,,,4,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Seridó,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,10,27,,11,25,,11,25,,11,21,,10,20,,10,14,,9,15,,9,15,,9,15,,9,15,,9,15,,8,15,,8,18,,6,21,,6,17,,6,16,,6,15,,6,11,,6,18,,5,18,,5,11,,5,11,,4,7,,4,7,,3,8,,3,8,,3,7,,2,12,,2,12,,1,13,,1,11,,1,11,,1,9,,1,7,,,1,7,,,1,7,,,3,,,3,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Norte,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,,17,,,15,,,15,,,14,,,14,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,9,,,9,,,9,,,9,,,9,,,7,,,7,,,7,,,6,,,6,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
São Francisco do Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,71,246,3,68,228,3,68,226,3,64,210,3,62,195,3,62,187,2,61,175,2,55,165,2,53,166,2,53,163,2,52,161,2,47,159,2,44,158,2,42,135,2,42,129,2,42,126,2,41,138,2,39,104,2,39,88,2,34,91,2,33,76,2,32,78,2,30,46,2,28,46,2,26,46,2,26,46,2,24,52,2,22,71,1,20,84,1,19,86,1,11,107,1,11,107,1,11,100,1,11,85,1,,10,79,,,9,59,,1,62,,1,39,,,2,18,,,1,18,,,21,,,,23,,,6,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,
São João do Sabugi,,7,,,6,,,6,,,6,,,6,,,6,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,,4,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José de Mipibu,26,44,1,26,45,1,26,43,1,24,36,1,24,26,1,21,28,1,19,29,1,19,24,1,19,22,1,18,23,1,14,25,1,12,24,1,9,25,1,8,28,1,8,18,1,8,18,1,5,20,,5,15,,5,15,,5,15,,4,10,,4,10,,4,9,,2,9,,2,9,,2,9,,2,10,,,,,2,16,,2,17,,1,20,,1,20,,1,19,,1,20,,,1,21,,,1,21,,1,20,,1,18,,,1,6,,,1,6,,,6,,,,6,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
São José do Campestre,,4,,,5,,,5,,,5,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,,4,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José do Seridó,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel,15,32,,15,31,,15,31,,15,31,,14,28,,14,30,,11,26,,11,25,,11,23,,11,24,,10,25,,3,26,,3,23,,2,23,,2,20,,2,19,,2,19,,1,12,,1,11,,1,11,,1,11,,1,11,,1,7,,,7,,,7,,,7,,,8,,,8,,,8,,,8,,,8,,,4,,,4,,,3,,,,3,,,,3,,,3,,,3,,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,,4,,1,1,,1,1,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,3,,,,3,,,,1,,,1,,,1,,,,1,,,,1,,,2,,,,2,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,
São Paulo do Potengi,2,17,,2,15,,2,15,,2,15,,2,15,,2,15,,1,14,,1,14,,1,15,,1,15,,1,15,,1,13,,1,13,,,10,,,6,,,6,,,6,,,7,,,6,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,6,,,5,,,5,,,5,,,3,,,2,,,,2,,,,3,,,3,,,2,,,,2,,,,2,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Pedro,1,4,,1,4,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,8,11,1,9,8,1,9,8,1,8,8,1,8,7,1,9,8,1,10,9,1,8,9,1,8,9,1,6,9,1,6,8,1,5,8,1,5,8,1,3,7,1,3,5,1,3,5,1,3,5,1,3,2,1,3,2,1,1,4,1,1,2,1,1,2,1,,2,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,3,4,1,3,4,1,3,4,1,3,4,1,3,1,1,1,5,,1,6,,1,2,,1,2,,,3,,,3,,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,1,14,,1,14,,1,14,,,15,,,15,,,15,,,13,,,13,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,8,,,8,,,8,,,8,,,7,,,8,,,7,,,7,,,7,,,5,,,4,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,2,2,,1,1,,1,1,,1,2,,1,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,1,1,,1,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra do Mel,1,6,,1,7,,1,8,,1,7,,1,5,,1,4,,1,4,,1,3,,1,2,,1,1,,1,1,,1,1,,1,3,,,4,,,3,,,3,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Negra do Norte,3,7,2,2,6,2,2,6,2,2,5,2,2,5,1,2,4,1,2,4,,2,4,,1,5,,1,4,,1,4,,1,4,,1,2,,1,2,,1,2,,1,2,,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,6,,,7,,,7,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,,3,,,4,,,4,,,3,,,2,,,3,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,2,,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,4,5,1,2,6,1,2,6,1,1,1,1,1,1,1,1,2,1,1,2,,1,2,,1,1,,1,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,,1,1,1,,1,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,,14,,,14,,,14,,,14,,,13,,,10,,,8,,,2,,,2,,,2,,,2,,,2,,,3,,,1,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias,3,7,2,3,7,2,3,7,2,3,5,2,3,5,2,4,5,2,3,5,2,3,5,2,3,5,2,3,5,2,3,5,2,4,4,2,3,4,2,2,6,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,1,1,2,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,,1,,,1,,,2,,,2,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,2,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,3,,,2,,,4,,,2,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,10,10,,5,10,,5,10,,5,10,,3,12,,3,12,,3,12,,3,12,,3,12,,2,13,,2,13,,2,13,,2,17,,2,7,,2,7,,2,7,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,,1,8,,1,8,,1,8,,1,7,,1,7,,1,6,,,1,6,,,1,5,,1,3,,1,3,,,1,2,,,1,2,,,3,,,,1,,,4,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
Tibau do Sul,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,2,,,,2,,,,3,,,3,,,4,,,,3,,,,3,,,3,,,,4,,,1,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
Timbaúba dos Batistas,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touros,3,16,1,5,19,1,5,19,1,2,14,1,2,12,1,2,8,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,15,1,1,12,1,1,12,1,1,12,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,1,1,1,,1,,,1,,,1,,,2,,,2,,,2,,,3,,,4,,,4,,,3,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,3,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triunfo Potiguar,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umarizal,,2,,,4,,,4,,,4,,,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,3,,,3,,,3,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upanema,1,6,,1,2,,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Várzea,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venha-Ver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vera Cruz,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viçosa,,5,,,5,,,5,,,5,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Flor,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Importados,8,33,2,9,29,2,9,29,,9,26,2,8,25,2,8,25,2,8,25,2,8,25,2,8,25,2,7,25,2,6,26,1,6,26,1,10,58,1,9,41,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,,,5,32,,,5,40,,3,38,,2,30,,,2,27,,,1,28,,,30,,,,26,,,24,,,,10,,,,3,,,,3,,,,2,,,,,1,,,1,1,,,,,